SHELT_NB,shelter_id,site_id,site_on,site_at,CORN_DESC,CITY,bustop_yn,OWNER,shelter_manufacturer_id,shel_type,shelter_type_description,RT_CD,has_heat,has_light,has_solar,has_adpanel
M-9302,379,1235,MINNESOTA ST,6TH ST,NEAR SIDE  N,SAINT PAUL,Y,METRO,Class,A,6 X 17 with windscreen,STP,Y,Y,N,N
M-2044,1976,19600,GOLDEN VALLEY RD,COURAGE CENTER,NEAR SIDE  E,GOLDEN VALLEY,Y,METRO,DG,A,6 X 17 with windscreen,NW,N,Y,N,N
M-5212,1716,40168,HENNEPIN AVE,6TH ST / 7TH ST N,MID BLOCK  S,MINNEAPOLIS,Y,METRO,,A,6 X 17 with windscreen,MPLS-W,Y,Y,N,N
M-6004,3131,4283,FORD,KENNETH STATION,NEAR SIDE  E,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-2309,2264,15114,SNELLING,HEWITT STATION,FAR SIDE  S,SAINT PAUL,Y,METRO,DG,BRT,Station,ABRT,Y,Y,N,N
M-6017,3142,15116,SNELLING,MINNEHAHA STATION,FAR SIDE  S,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6028,3153,16607,46TH ST,MINNEHAHA STATION,FAR SIDE  W,MINNEAPOLIS,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-5645,1191,17307,SNELLING,DAYTON STATION,NEAR SIDE  S,SAINT PAUL,Y,METRO,DG,BRT,Station,ABRT,Y,Y,N,N
M-6019,3144,17312,SNELLING,GRAND STATION,FAR SIDE  S,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6020,3145,17318,SNELLING,ST CLAIR STATION,NEAR SIDE  S,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6022,3147,17332,SNELLING,HIGHLAND STATION,NEAR SIDE  S,SAINT PAUL,Y,METRO,DG,BRT,Station,ABRT,Y,Y,N,N
M-1971,2040,17366,SNELLING,GRAND STATION,NEAR SIDE  N,SAINT PAUL,Y,METRO,DG,BRT,Station,ABRT,Y,Y,N,N
M-403,101,17371,SNELLING,DAYTON STATION,NEAR SIDE  N,SAINT PAUL,Y,METRO,BR,BRT,Station,ABRT,Y,Y,N,N
M-6030,3265,17856,OLSON MEMORIAL HWY,7TH ST N,FAR SIDE  W,MINNEAPOLIS,Y,METRO,BR,BRT,Station,,Y,Y,N,N
M-6011,3138,18508,SNELLING,HEWITT  STATION,MID BLOCK  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-246,77,18523,SNELLING,COMO STATION,FAR SIDE  S,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-2333,1733,43022,LAKE ST E,LAKE ST - MIDTOWN STATION,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,BRT,Station,FLS,Y,Y,N,N
O-9606,3639,48179,CEDAR AVE S,147TH ST STATION,NEAR SIDE  S,APPLE VALLEY,Y,OTHER,,BRT,Station,,Y,Y,N,N
O-9611,3640,48976,CEDAR AVE S,140TH ST STATION,FAR SIDE  N,APPLE VALLEY,Y,OTHER,,BRT,Station,,N,N,N,N
O-9612,3641,48977,CEDAR AVE S,140TH ST STATION,NEAR SIDE  S,APPLE VALLEY,Y,OTHER,,BRT,Station,,N,N,N,N
M-6014,2896,50010,SNELLING,LARPENTEUR STATION,FAR SIDE  N,FALCON HEIGHTS,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6015,2124,50013,SNELLING,CO RD B STATION,MID BLOCK  N,ROSEVILLE,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-2183,2122,50015,SNELLING,CO RD B STATION,FAR SIDE  S,ROSEVILLE,Y,METRO,BR,BRT,Station,ABRT,Y,Y,N,N
M-2323,2479,50032,SNELLING,LARPENTEUR STATION,FAR SIDE  S,FALCON HEIGHTS,Y,METRO,BR,BRT,Station,NE,Y,Y,N,N
M-6001,2885,51514,46TH ST,46TH AVE STATION,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6000,3126,53362,46TH ST,MINNEHAHA STATION,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
O-9633,3623,53429,CEDAR AVE,APPLE VALLEY STATION,NEAR SIDE  N,APPLE VALLEY,Y,OTHER,,BRT,Station,,N,N,N,N
O-9637,3647,53431,CEDAR AVE,APPLE VALLEY STATION,NEAR SIDE  S,APPLE VALLEY,Y,OTHER,,BRT,Station,,N,N,N,N
O-9640,3662,53469,CEDAR GROVE STATION,SHELTER,NEAR SIDE  E,EAGAN,Y,OTHER,,BRT,Station,,N,N,N,N
O-9642,3664,53494,CEDAR AVE S,147TH ST STATION,FAR SIDE  N,APPLE VALLEY,Y,OTHER,,BRT,Station,,N,N,N,N
O-9641,3663,53656,MOA TRANSIT STATION,RED LINE PLATFORM,NEAR SIDE  N,BLOOMINGTON,Y,OTHER,,BRT,Station,,N,N,N,N
M-6002,3127,56111,FORD,WOODLAWN STATION,MID BLOCK  E,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6003,3128,56112,FORD,FINN  STATION,MID BLOCK  E,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6005,3132,56113,FORD,FAIRVIEW STATION,FAR SIDE  E,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6006,3133,56114,SNELLING,HIGHLAND STATION,FAR SIDE  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6007,3134,56115,SNELLING,RANDOLPH STATION,FAR SIDE  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6008,3135,56116,SNELLING,ST CLAIR  STATION,FAR SIDE  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
M-6009,3136,56117,SNELLING,UNIVERSITY STATION,NEAR SIDE  N,SAINT PAUL,Y,METRO,,BRT,Station,ABRT,Y,Y,N,N
